compound_id,Name,alias,IUPAC_name,Novelty,component_type,source_type,source_path,Item_ID,evidence_text,manual_required,reason
C000001,indoximod,1-methyl-D-tryptophan|IDO inhibitor,,known,reagent,markdown,QS_2026/QS_2026.md,Fig. 1a,"administration of lipid nanoparticles (LNPs)<sup>32</sup>. Conventional LNPs are composed of ionizable lipids, phospholipids, cholesterol and polyethylene glycol (PEG)-conjugated lipids<sup>4,33,34</sup>. While LNPs are highly effective for mRNA delivery, the loading efficiency of free small-molecule drugs in LNPs is low and risks drug leakage in vivo<sup>35-37</sup>. By contrast, prodrug-based nanosystems have higher drug loading capacity, good biocompatibility and controlled drug release in vivo<sup>38-41</sup>. Here we engineered prodrug ionizable lipids (pILs) conjugated to indoximod via a glutathione (GSH)-cleavable disulfide linkage<sup>41,42</sup> (Fig. 1a). pILs were used to formulat",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000002,1-methyl-D-tryptophan,indoximod,,known,reagent,markdown,QS_2026/QS_2026.md,Supplementary Fig. 5,"with indoximod (1-methyl-D-tryptophan) to obtain 4-Nitro-SS-AA (Supplementary Fig. 5). The presence of a disulfide linkage in this structure enables intracellular release of indoximod via GSH cleavage. Next, Nitro-SS-AA was reacted with seven amine heads to generate seven prodrug polyamine heads, and all structures were confirmed by",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000003,cholesterol,,,known,cholesterol,markdown,QS_2026/QS_2026.md,,"intratumoural injection of pLNPs, which are composed of plLs, phospholipid, DMG-PEG, cholesterol and IL-12 mRNA. pLNPs induce T cell activation and suppress T cell exhaustion through IL-12 expression and IDO pathway inhibitor release, respectively, thereby eliminating tumours through synergistic methods. Panel $\bf b$ created in BioRender; Hamilton, A. https://biorender.com/bv1w20v (2025).",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000004,DOPE,"1,2-dioleoyl-sn-glycero-3-phosphoethanolamine",,known,helper_lipid,markdown,QS_2026/QS_2026.md,Fig. 2,"<span id=""page-2-0""></span>**Fig. 2**| **In vitro and in vivo screening of pIL library and lead pLNPs for mRNA delivery. a**, Schematic showing screening method for pILs. pLNPs were formulated with a pIL, cholesterol, DOPE and DMG-PEG at a molar ratio of 50:38.5:10:1.5. MC38 cells were used for in vitro screening of pLNPs encapsulating FLuc mRNA. Lead pLNPs were selected for in vivo evaluation via MC38 intratumoural administration. b, Heat map showing luminescence intensities of MC38 cells after treatment with pLNPs formulated from 21 distinct pILs. **c**, Ex vivo FLuc expression in tumour tissue (n = 3). Mice were intratumourally injected with G0-SS-AA-C10/C12/C14 FLuc pLNPs and MC3 FLuc LN",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000005,"1,2-dioleoyl-sn-glycero-3-phosphoethanolamine",DOPE,,known,helper_lipid,markdown,,,,true,Candidate retained from QS_2026 text-prep candidate list; source sentence was not re-located automatically in the sandbox fallback.
C000006,DMG-PEG 2000,"DMG-PEG|1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol-2000",,known,peg_lipid,markdown,QS_2026/QS_2026.md,,"intratumoural injection of pLNPs, which are composed of plLs, phospholipid, DMG-PEG, cholesterol and IL-12 mRNA. pLNPs induce T cell activation and suppress T cell exhaustion through IL-12 expression and IDO pathway inhibitor release, respectively, thereby eliminating tumours through synergistic methods. Panel $\bf b$ created in BioRender; Hamilton, A. https://biorender.com/bv1w20v (2025).",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000007,DMG-PEG,"DMG-PEG 2000|1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol-2000",,known,peg_lipid,markdown,QS_2026/QS_2026.md,,"intratumoural injection of pLNPs, which are composed of plLs, phospholipid, DMG-PEG, cholesterol and IL-12 mRNA. pLNPs induce T cell activation and suppress T cell exhaustion through IL-12 expression and IDO pathway inhibitor release, respectively, thereby eliminating tumours through synergistic methods. Panel $\bf b$ created in BioRender; Hamilton, A. https://biorender.com/bv1w20v (2025).",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000008,DLin-MC3-DMA,MC3,,known,ionizable_lipid,markdown,QS_2026/QS_2026.md,Fig. 2,"<span id=""page-2-0""></span>**Fig. 2**| **In vitro and in vivo screening of pIL library and lead pLNPs for mRNA delivery. a**, Schematic showing screening method for pILs. pLNPs were formulated with a pIL, cholesterol, DOPE and DMG-PEG at a molar ratio of 50:38.5:10:1.5. MC38 cells were used for in vitro screening of pLNPs encapsulating FLuc mRNA. Lead pLNPs were selected for in vivo evaluation via MC38 intratumoural administration. b, Heat map showing luminescence intensities of MC38 cells after treatment with pLNPs formulated from 21 distinct pILs. **c**, Ex vivo FLuc expression in tumour tissue (n = 3). Mice were intratumourally injected with G0-SS-AA-C10/C12/C14 FLuc pLNPs and MC3 FLuc LN",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000009,MC3,DLin-MC3-DMA,,known,ionizable_lipid,markdown,QS_2026/QS_2026.md,Fig. 2,"<span id=""page-2-0""></span>**Fig. 2**| **In vitro and in vivo screening of pIL library and lead pLNPs for mRNA delivery. a**, Schematic showing screening method for pILs. pLNPs were formulated with a pIL, cholesterol, DOPE and DMG-PEG at a molar ratio of 50:38.5:10:1.5. MC38 cells were used for in vitro screening of pLNPs encapsulating FLuc mRNA. Lead pLNPs were selected for in vivo evaluation via MC38 intratumoural administration. b, Heat map showing luminescence intensities of MC38 cells after treatment with pLNPs formulated from 21 distinct pILs. **c**, Ex vivo FLuc expression in tumour tissue (n = 3). Mice were intratumourally injected with G0-SS-AA-C10/C12/C14 FLuc pLNPs and MC3 FLuc LN",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
C000010,DSPC,"1,2-distearoyl-sn-glycero-3-phosphocholine",,known,helper_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,,"DLin-MC3-DMA was obtained from MedChemExpress. 1,2-Dioleoyl-snglycero-3-phosphoethanolamine (DOPE), 1,2-distearoyl-sn-glycero-3-p hosphocholine (DSPC), cholesterol and 1,2-dimyristoyl-rac-glycero-3-m ethoxypolyethylene glycol-2000 (DMG-PEG 2000) were purchased from Avanti Polar Lipids. 2,2′-Disulfanediylbis(ethan-1-ol), 1-methyl-D-tryptophan, hexane-1,6-diol, 2-hydroxyethyl disulfide and polyamine heads were purchased from Sigma-Aldrich. Epoxydecane (C10), epoxydodecane (C12), epoxytetradecane (C14) and 4-nitrophenyl carbonochloridate were purchased from Tokyo Chemical Industry. All organic solvents were purchased from Fisher Scientific. FLuc mRNA (5moU) (L-7202) was purchased from TriLink B",false,Explicit source name extracted from markdown/logged source text; no explicit source IUPAC name provided.
